PickupDropPointName,Latitude,Longitude,LocalityName,StatusCode
Bus - Morwadi,18.6338655,73.8037325,Ajmera-MorwadiGharonda Hotel-S,Active
Bus - Finolex Chowk,18.6294532,73.8027561,Ajmera-MorwadiGharonda Hotel-S,Active
Bus - Hotel Kalasagar,18.6119656,73.8178731,Ajmera-MorwadiGharonda Hotel-S,Active
Bus - Vallabh Nagar,18.6142635,73.8166285,Ajmera-MorwadiGharonda Hotel-S,Active
Bus - HA Colony,18.6184423,73.8121439,Ajmera-MorwadiGharonda Hotel-S,Active
Ajmera - Vastu Udyog Corner(M),18.6333,73.8159,Ajmera - Vastu Udyog Corner(M),Active
Akurdi - Railway Station (S),18.6479,73.764,Akurdi - Railway Station (S),Active
Bus - Force Motors,18.654044,73.781888,Akurdi - Railway Station (S),Active
Bus - Dharmaraj Chowk,18.649563,73.762025,Akurdi - Railway Station (S),Active
Bus - Akurdi Junction,18.6500802,73.7852681,Akurdi - Railway Station (S),Active
Bus - Lion Chowk Nigdi,18.650470,73.762960,Akurdi - Railway Station (S),Active
Bus - PCMC Water Tank Left Turn,18.652751,73.758518,Akurdi - Railway Station (S),Active
Bus - INOX Akurdi,18.6478031,73.7850965,Akurdi - Bajaj Auto Gate (S),Active
Bus - Thermax Chowk,18.6606316,73.7935401,Akurdi - Bajaj Auto Gate (S),Active
Bus - Khandobamal Akurdi,18.650298,73.784999,Akurdi - Bajaj Auto Gate (S),Active
Bus - Hotel Ratnalok,18.653248,73.782473,Akurdi - Bajaj Auto Gate (S),Active
Akurdi - Bajaj Auto Gate (S),18.654241,73.782151,Akurdi - Bajaj Auto Gate (S),Active
Chinchwad-Bhoir Ngr School (S),18.6427,73.7833,Chinchwad-Bhoir Ngr School (S),Active
Akurdi-Bijlee Ngr WaterTank(S),18.6442,73.7693,Akurdi-Bijlee Ngr WaterTank(S),Active
Akurdi - DY Patil college (S),18.6446,73.7571,Akurdi - DY Patil college (S),Active
Akurdi - Gurudwara Chowk (S),18.6457,73.7667,Akurdi - Gurudwara Chowk (S),Active
Bus - Gurudwara Chowk,18.6457,73.7667,Akurdi - Gurudwara Chowk (S),Active
Bus - Akurdi Station Back Side,18.649571,73.761868,Akurdi - Gurudwara Chowk (S),Active
Akurdi - Mhalsakant chowk (S),18.6493,73.7761,Akurdi - Mhalsakant chowk (S),Active
Bus - Akurdigaon (Hanuman chowk),18.64979,73.77961,Akurdi - Mhalsakant chowk (S),Active
Bus - Mhalsakant chowk,18.64914,73.776,Akurdi - Mhalsakant chowk (S),Active
Akurdi-PMTstop Force motors(S),18.6515,73.7847,Akurdi-PMTstop Force motors(S),Active
Akurdi - Railway Station (S),18.64857,73.76463,Akurdi - Railway Station (S),Active
Bus - Bijali Nagar Bridge,18.644034,73.769278,Akurdi - Railway Station (S),Active
Bus - Akurdi Station,18.6478336,73.764025,Akurdi - Railway Station (S),Active
AmbegaonPathar-PrernaSchool(L),18.4628,73.8448,AmbegaonPathar-PrernaSchool(L),Active
Ambegaon pathar- Prerana school (L),18.462713,73.844874,AmbegaonPathar-PrernaSchool(L),Active
Ambegoan Near D-mart(L),18.4524,73.844,Ambegoan Near D-mart(L),Active
Aundh-Police station corner(M),18.5617,73.8111,Aundh-Police station corner(M),Active
Aundh - Bremen Circle (M),18.5602,73.8147,Aundh - Bremen Circle (M),Active
Bus - Bremen Circle,18.5612668,73.8141073,Aundh - Bremen Circle (M),Active
Bus - Convergys,18.5653198,73.8074232,Aundh - Convergys (M),Active
Bus - Armament Colony,18.551411,73.8214994,Aundh - Convergys (M),Active
"Bus - McDonalds, Aundh",18.5628178,73.8074232,Aundh - Convergys (M),Active
Aundh - Convergys (M),18.5645,73.8073,Aundh - Convergys (M),Active
Bus - DAV School Aundh,18.5603057,73.8030887,Aundh - DAV public School (M),Active
Aundh - DAV public School (M),18.5603,73.8036,Aundh - DAV public School (M),Active
Bus - Gaikwad Petrol Pump,18.557762,73.804054,Aundh - DAV public School (M),Active
Aundh - Hotel Pichola (M),18.5572,73.8171,Aundh - Hotel Pichola (M),Active
Aundh - Hotel Sarja  (M),18.5532,73.8093,Aundh - Hotel Sarja (M),Active
Bus - Hotel Sarjaa,18.5532,73.8093,Aundh - Hotel Sarja (M),Active
Bus - Hotel Seasons,18.553836,73.804901,Aundh - Hotel Sarja (M),Active
Aundh - Hotel Sarja (M),18.5532,73.8093,Aundh - Hotel Sarja (M),Active
Bus - Aloma County,18.563609,73.796657,Aundh - Medi point (M),Active
Bus - Kapil Tranquil,18.561747,73.79214,Aundh - Medi point (M),Active
Bus - Jupiter Hospital,18.564615,73.787023,Aundh - Medi point (M),Active
Bus - Pimplenilakh Baner Bridge,18.564873,73.788659,Aundh - Medi point (M),Active
Bus - Ingawale Chowk,18.571747,73.790554,Aundh - Medi point (M),Active
Bus - Ganga Panama Backside,18.573669,73.789903,Aundh - Medi point (M),Active
Bus - Medipoint Hospital,18.5654927,73.8024128,Aundh - Medi point (M),Active
Aundh - Medi point (M),18.5651,73.8025,Aundh - Medi point (M),Active
Aundh - Parihar Chowk (M),18.5606,73.8092,Aundh - Parihar Chowk (M),Active
Bus - Parihar Chowk,18.5605294,73.8075198,Aundh - Parihar Chowk (M),Active
Bus - Shivaji Nagar,18.5301516,73.8498128,Aundh - Parihar Chowk (M),Active
"Bus - Hotel Shivsagar, Aundh",18.5604481,73.8051058,Aundh-Siddharth Ngr market (M),Active
Bus - Siddharth Nagar,18.5634637,73.813088,Aundh-Siddharth Ngr market (M),Active
Bus - Sangavi Nagar,18.5606159,73.8118435,Aundh-Siddharth Ngr market (M),Active
Aundh-Siddharth Ngr market (M),18.5652,73.8124,Aundh-Siddharth Ngr market (M),Active
Aundh - Sony World (M),18.5665,73.8076,Aundh - Sony World (M),Active
Aundh Road - Ambedkar Chowk  ICICI ATM (M),18.562674,73.830095,Aundh Road - Ambedkar Chowk(M),Active
Aundh Road - Ambedkar Chowk(M),18.5626,73.8303,Aundh Road - Ambedkar Chowk(M),Active
Aundh Road - Ganesh Temple (M),18.5619,73.8369,Aundh Road - Ganesh Temple (M),Active
Aundh Road - Aundh Road-Ganesh Temple (M),18.5619,73.836900,Aundh Road - Ganesh Temple (M),Active
Aundh Road - Pune IT park (M),18.5671,73.8293,Aundh Road - Pune IT park (M),Active
Aundh Road - Spicer College(M),18.5632,73.8181,Aundh Road - Spicer College(M),Active
Bus - Spicer College,18.5628941,73.8171972,Aundh Road - Spicer College(M),Active
BTKawde-Nr Citadal Soc Gate(L),18.5206,73.9062,BTKawde-Nr Citadal Soc Gate(L),Active
Balaji Ngr - Ellora palace (L),18.4658,73.8581,Balaji Ngr - Ellora palace (L),Active
Bus - Balaji Nagar,18.4683978,73.8576073,Balaji Ngr - Ellora palace (L),Active
Bus - Bharati Vidyapeeth,18.4577429,73.8581438,Balaji Ngr - Ellora palace (L),Active
Bus - KK Bazaar,18.4687539,73.859914,Balaji Nagar - K K Market (L),Active
Balaji Nagar - K K Market (L),18.4687,73.8599,Balaji Nagar - K K Market (L),Active
Balewadi-ComfortZONE Corner(S),18.5705,73.7811,Balewadi-ComfortZONE Corner(S),Active
Balewadi - Elite Empire (S),18.5738,73.7761,Balewadi - Elite Empire (S),Active
Bus - Prakriti Balewadi,18.5696676,73.781277,Balewadi - Elite Empire (S),Active
Bus - Balewadi Water Tank,18.576316,73.778834,Balewadi - Mitcon (S),Active
Bus - Bharti Vidyapeeth School,18.573708,73.774803,Balewadi - Mitcon (S),Active
Bus - Mitcon,18.5752358,73.7683702,Balewadi - Mitcon (S),Active
Balewadi - Mitcon (S),18.5751,73.7661,Balewadi - Mitcon (S),Active
Balewadi - Balewadi Phata-Orchid School Gate (S),18.5636,73.7816,Balewadi - Orchid Hotel (S),Active
Balewadi - Orchid Hotel (S),18.571,73.7639,Balewadi - Orchid Hotel (S),Active
Baner - Savata mali temple(S),18.561031,73.787258,Baner - Savata mali temple(S),Active
Baner - Food Bazzar (M),18.5566,73.7942,Baner - Food Bazzar (M),Active
Baner - Hotel Green Park (M),18.551630,73.804260,Baner - Hotel Green Park (M),Active
Bus - Baner Phata,18.5500481,73.809526,Baner - Hotel Green Park (M),Active
Bus - Hotel Green Park,18.551111,73.8049341,Baner - Hotel Green Park (M),Active
Bus - Hotel Mahabaleshwar,18.5549049,73.79766,Baner - Hotel Mahabaleshwar(M),Active
Bus - Kapil Malhar,18.5599192,73.7889589,Baner - Hotel Mahabaleshwar(M),Active
Bus - Balewadi Phata,18.5634891,73.7828649,Baner - Hotel Mahabaleshwar(M),Active
Baner - Hotel Mahabaleshwar(M),18.554929,73.798561,Baner - Hotel Mahabaleshwar(M),Active
Bus - Hotel Sadanand,18.5688794,73.7662996,Baner - Hotel Sadanand (M),Active
"Bus - Renault Auto, Highway",18.555246,73.77079,Baner - Hotel Sadanand (M),Active
Bus - Bitwise,18.5574171,73.7698937,Baner - Hotel Sadanand (M),Active
Baner - Hotel Sadanand (M),18.5685,73.7671,Baner - Hotel Sadanand (M),Active
Baner - Prime Rose Mall (M),18.561591,73.785607,Baner - Prime Rose Mall (M),Active
Baner - Sindh Society gate (M),18.5478,73.8155,Baner - Sindh Society gate (M),Active
Bus - Sakal nagar,18.5463558,73.8197292,Baner - Sindh Society gate (M),Active
Bus - Sindh Society Baner Road,18.5480036,73.8145579,Baner - Sindh Society gate (M),Active
Baner - Kapil Malhar (M),18.558761,73.791752,Baner - Kapil Malhar (M),Active
Bus - Ram nagar,18.525818,73.7815452,Bavdhan - DSK Ranwara (M),Active
Bavdhan - DSK Ranwara (M),18.5211,73.7741,Bavdhan - DSK Ranwara (M),Active
Bavdhan - Maratha Mandir (M),18.5119,73.7813,Bavdhan - Maratha Mandir (M),Active
Bavdhan - Police Chowki (M),18.5227,73.7799,Bavdhan - Police Chowki (M),Active
Bus - Bavdhan,18.5177914,73.7802363,Bavdhan - Police Chowki (M),Active
Bus – Katraj Dairy Signal,18.454295,73.858723,Bharti Vidyapeeth Main Gate(L),Active
Bharti Vidyapeeth Main Gate(L),18.4578,73.8579,Bharti Vidyapeeth Main Gate(L),Active
Bhawani Peth-DhobiGhat Corn(L),18.502181,73.876127,Bhawani Peth-DhobiGhat Corn(L),Active
Bus - Ramoshi Gate,18.5096781172232,73.8682091191144,Bhawani Peth-Ramoshi Gate (L),Active
Bhawani Peth-Ramoshi Gate (L),18.5108,73.8684,Bhawani Peth-Ramoshi Gate (L),Active
Bus - Bharatmata Nagar,18.6273284,73.8651443,Bhosari-Anand Hospital stop(M),Active
Bus - Bhosari Bus Stand,18.6203843,73.8507248,Bhosari-Anand Hospital stop(M),Active
Bus - Anand Hospital,18.623073,73.851492,Bhosari-Anand Hospital stop(M),Active
Bhosari-Anand Hospital stop(M),18.622316,73.851383,Bhosari-Anand Hospital stop(M),Active
Bus - Landewadi,18.6196726,73.8417769,Bhosari-Hotel Vishwa Vilas (M),Active
Bhosari-Hotel Vishwa Vilas (M),18.6205,73.8413,Bhosari-Hotel Vishwa Vilas (M),Active
Bus - Sheetal Baug Colony (Bhosari),18.615950,73.847966,Bhosari-Hotel Vishwa Vilas (M),Active
Bus - Bhosari Telephone Exchange,18.6210655,73.8301683,Bhosari - Shivaji Statue (M),Active
Bus - CIRT,18.6108675,73.8235808,Bhosari - Shivaji Statue (M),Active
Bhosari - Shivaji Statue (M),18.6199,73.841,Bhosari - Shivaji Statue (M),Active
Bus - Tathavade petrol pump,18.6111929,73.7605704,Bhumkar Chowk-Chandra Mauli(S),Active
Bus - Kalakhadak,18.6056106,73.7524379,Bhumkar Chowk-Chandra Mauli(S),Active
Bhumkar Chowk-Chandra Mauli(S),18.606964,73.755586,Bhumkar Chowk-Chandra Mauli(S),Active
BhumkarWasti-SixSeaterstand(S),18.6059,73.7526,BhumkarWasti-SixSeaterstand(S),Active
BhumkarWasti - Poona Bakery(S),18.603623,73.747711,BhumkarWasti - Poona Bakery(S),Active
Bibwewadi - Bibwewadi Corner Near Bank of Maharashtra  (L),18.480754,73.861335,Bibwewadi - Near BOM Bank (L),Active
Bibwewadi - Near BOM Bank (L),18.480742,73.861147,Bibwewadi - Near BOM Bank (L),Active
Bibwewadi-MaheshSocietyGate(L),18.469046,73.864171,Bibwewadi-MaheshSocietyGate(L),Active
Bus - Bibwewadi,18.4756482,73.8624246,Bibwewadi-MaheshSocietyGate(L),Active
Bus - Mahesh Society,18.4690592,73.8640232,Bibwewadi-MaheshSocietyGate(L),Active
Bibwewadi - Mahesh society-Main gate (L),18.4702,73.864,Bibwewadi-MaheshSocietyGate(L),Active
Bijli Nagar - Hanuman Sweets (M),18.6431,73.7725,Bijli Nagar-Hanuman Sweets (S),Active
Bijli Nagar-Hanuman Sweets (S),18.6431,73.7725,Bijli Nagar-Hanuman Sweets (S),Active
Bopkhel - Ganesh Temple (L),18.592867,73.863747,Bopkhel - Ganesh Temple (L),Active
Bopkhel - TCL Main Gate (L),18.6066,73.8732,Bopkhel - TCL Main Gate (L),Active
Bus - Bopkhel Phata,18.597318,73.873301,Bopkhel - TCL Main Gate (L),Active
Bus - Phugewadi,18.5852427,73.8331938,Bopodi-Chajjed Petrol Pump (M),Active
Bus - Vineyard Workers Church,18.582202,73.8298143,Bopodi-Chajjed Petrol Pump (M),Active
Bus - Bopodi,18.5725102,73.8339985,Bopodi-Chajjed Petrol Pump (M),Active
Bus - Bopodi Naka,18.572611,73.836861,Bopodi-Chajjed Petrol Pump (M),Active
Bopodi-Chajjed Petrol Pump (M),18.5729,73.8348,Bopodi-Chajjed Petrol Pump (M),Active
Budhwar Peth-PrabhatThetere(L),18.516584,73.853884,Budhwar Peth-PrabhatThetere(L),Active
Bund Guarden-WadiaColl Gate(L),18.5337,73.8788,Bund Guarden-WadiaColl Gate(L),Active
Bus - Bund Garden,18.53999,73.88318,Bund Guarden-WadiaColl Gate(L),Active
Bus - Ruby Hall (Wadi college Signal),18.53457,73.87961,Bund Guarden-WadiaColl Gate(L),Active
Bus - ASC Depot,18.519026,73.882301,Camp - Cafe Majestic (L),Active
Camp - Cafe Majestic (L),18.5167,73.8748,Camp - Cafe Majestic (L),Active
Camp - Coportion Bank (L),18.5078,73.8792,Camp - Coportion Bank (L),Active
Camp - Lal Deoul (L),18.52031,73.87318,Camp - Lal Deoul (L),Active
Bus - Hotel Aurora Towers,18.5184222,73.879242,Camp - Lal Deoul (L),Active
Bus - Bombay Garage,18.5136457,73.8799018,Camp - Lal Deoul (L),Active
Camp - Quarter gate circle (L),18.5151,73.8725,Camp - Quarter gate circle (L),Active
Bus - Chandan Nagar,18.5630568,73.931352,Chandan NGR - NEI PMT Stop (L),Active
Chandan NGR - NEI PMT Stop (L),18.563,73.9316,Chandan NGR - NEI PMT Stop (L),Active
Chandan NGR-Sangharsh Chowk(L),18.5595,73.9312,Chandan NGR-Sangharsh Chowk(L),Active
Chandan NGR - Sunita Nagar (L),18.5611,73.9311,Chandan NGR - Sunita Nagar (L),Active
Chandan NGR-Tata Guard Room(L),18.5629,73.9286,Chandan NGR-Tata Guard Room(L),Active
Bus - Windmill Village,18.504713,73.764764,ChandaniChowk-Highway Stop(M),Active
Bus - Bhukum Gram Panchayat,18.498506,73.719634,ChandaniChowk-Highway Stop(M),Active
Bus - Bhugaon Gram Panchayat,18.501045,73.750539,ChandaniChowk-Highway Stop(M),Active
ChandaniChowk-Highway Stop(M),18.5072,73.7829,ChandaniChowk-Highway Stop(M),Active
ChandaniChowk-VedBhavan Cor(M),18.5075,73.788,ChandaniChowk-VedBhavan Cor(M),Active
Bus - Ved Bhavan Kothrud,18.506866,73.789917,ChandaniChowk-VedBhavan Cor(M),Active
Bus - Chandani Chowk,18.5073126,73.7837017,ChandaniChowk-VedBhavan Cor(M),Active
Thermax Chowk - Hdfc Corner(M),18.6548,73.8031,Thermax Chowk - Hdfc Corner(M),Active
Chikhli - Indica Gate No 2 (M),18.6617,73.8218,Chikhli - Indica Gate No 2 (M),Active
Chikhli-Kasturi Market Stop(M),18.6642,73.7952,Chikhli-Kasturi Market Stop(M),Active
Chikhli - KSB Chowk (M),18.6502,73.8093,Chikhli - KSB Chowk (M),Active
Chikhli - Mahabali Chowk (M),18.6589,73.8074,Chikhli - Mahabali Chowk (M),Active
Chikhli - Mathura Sweets (M),18.6658,73.7958,Chikhli - Mathura Sweets (M),Active
Bus - Mathura Sweets,18.6657754242899,73.7955963534494,Chikhli - Mathura Sweets (M),Active
Bus - River Residency,18.6871343309551,73.8310910534005,Chikhli - Sane Chowk (M),Active
Bus - Sane Chowk,18.6701916150621,73.7984053493316,Chikhli - Sane Chowk (M),Active
Bus - Moi Phata,18.6824587441297,73.8188280556715,Chikhli - Sane Chowk (M),Active
Bus - Chikhli Corner,18.6835414732377,73.8142126436164,Chikhli - Sane Chowk (M),Active
Bus - City Hospital,18.6750265899945,73.8051990877332,Chikhli - Sane Chowk (M),Active
Bus - Gitai Colony,18.6807854912569,73.8115626490923,Chikhli - Sane Chowk (M),Active
Bus - Jadhav Wadi Bus stop,18.681047533844,73.829393389619,Chikhli - Sane Chowk (M),Active
Bus – Talawade Jakat Naka Bus stop,18.707266,73.780212,Chikhli - Sane Chowk (M),Active
Bus - Koynanagar (Sane Chowk),18.667554,73.796656,Chikhli - Sane Chowk (M),Active
Bus – Talawade IT Park Corner,18.700982,73.787985,Chikhli - Sane Chowk (M),Active
Bus - Talawade chowk,18.696774,73.791886,Chikhli - Sane Chowk (M),Active
Bus - Dehugoan Kaman,18.716725,73.767911,Chikhli - Sane Chowk (M),Active
Bus - Tower Line bus stop,18.671976,73.786758,Chikhli - Sane Chowk (M),Active
Bus - Ganesh Nagar Corner,18.678507,73.787799,Chikhli - Sane Chowk (M),Active
Chikhli - Sane Chowk (M),18.6701,73.7984,Chikhli - Sane Chowk (M),Active
Bus - Cherry Sweets Corner,18.6648287479659,73.8070714562276,Chikhli - Cherry Sweet Mart(M),Active
Bus - Spine Road - Gharkul,18.66506,73.80567,Chikhli - Cherry Sweet Mart(M),Active
Chikhli - Cherry Sweet Mart(M),18.664737,73.806931,Chikhli - Cherry Sweet Mart(M),Active
Chikhli - Shahu nagar RTO (M),18.6585,73.8125,Chikhli - Shahu nagar RTO (M),Active
Bus - Tata Indica Plant Gate,18.661648,73.822819,Chikhli - Shahu nagar RTO (M),Active
Bus - Tata Jaguar,18.659239,73.826606,Chikhli - Shahu nagar RTO (M),Active
Chikhli - Thermax Chowk (M),18.6606,73.7935,Chikhli - Thermax Chowk (M),Active
Bus - Darshan Hall Chinchvad,18.629321,73.7866414,Chinchwad - Dharshan Hall (M),Active
Chinchwad - Dharshan Hall (M),18.6294,73.7867,Chinchwad - Dharshan Hall (M),Active
Chinchwad - Jai Hind Pump (S),18.638709,73.795479,Chinchwad - Jai Hind Pump (S),Active
Chinchwad - KeshavNGRSchool(S),18.6244,73.7826,Chinchwad - KeshavNGRSchool(S),Active
Chinchwad - Lokmanya Hosp (S),18.63704,73.789877,Chinchwad - Lokmanya Hosp (S),Active
Bus - Chinchvad Station,18.6385522,73.7951172,Chinchwad - Lokmanya Hosp (S),Active
Bus - Mohan Nagar,18.6423847,73.7970699,Chinchwad-Mohan Nagar Chowk(M),Active
Bus - Finolex (Chinchvad),18.6459936,73.8033033,Chinchwad-Mohan Nagar Chowk(M),Active
Bus - KSB Chowk,18.6504766,73.8093758,Chinchwad-Mohan Nagar Chowk(M),Active
Bus - Pimpri Chinchvad Rto,18.6585783,73.8122941,Chinchwad-Mohan Nagar Chowk(M),Active
Bus - Premlok Park,18.6402804,73.7831224,Chinchwad-Mohan Nagar Chowk(M),Active
Chinchwad-Mohan Nagar Chowk(M),18.6426,73.7974,Chinchwad-Mohan Nagar Chowk(M),Active
Chinchwad - Mohan Nagar Chowk (S),18.6426,73.7974,Chinchwad-Mohan Nagar Chowk(M),Active
Chinchwad - Morya Hospital (S),18.627495,73.782079,Chinchwad - Morya Hospital (S),Active
Chinchwad-PNG ChapekarChowk(S),18.6303,73.7791,Chinchwad-PNG ChapekarChowk(S),Active
Bus - Hotel Kamini,18.6328082,73.7853003,Chinchwad-PNG ChapekarChowk(S),Active
Bus - Chinchvad Bus Stand,18.6274707,73.7825645,Chinchwad-PNG ChapekarChowk(S),Active
Bus - Chaphekar Chowk,18.629626,73.7816418,Chinchwad-PNG ChapekarChowk(S),Active
Bus - Aditya Birla Hospital,18.6251425,73.7758375,Chinchwad-PNG ChapekarChowk(S),Active
Bus - Pudumjee Pulp and Paper Mills,18.620656,73.771133,Chinchwad-PNG ChapekarChowk(S),Active
Chinchwad-PCMC Natyagraha (S),18.6333,73.7871,Chinchwad-PCMC Natyagraha (S),Active
Chinchwad - Premlok Park-TVS showroom (M),18.638884,73.782630,Chinchwad-Premlok Park-TVS (S),Active
Bus - Bird Valley Lake,18.6564131,73.8006211,Chinchwad-Premlok Park-TVS (S),Active
Chinchwad-Premlok Park-TVS (S),18.6403,73.783,Chinchwad-Premlok Park-TVS (S),Active
Bus - Gawade HP Petrol Pump,18.6300174696,73.7929469378,Chinchwad-Yashopuram Corn (S),Active
Chinchwad-Yashopuram Corn (S),18.629,73.7934,Chinchwad-Yashopuram Corn (S),Active
Corporation-Balghandharva (L),18.5234,73.8499,Corporation-Balghandharva (L),Active
Corporation-Sawarkar Bhavan(L),18.5221,73.85,Corporation-Sawarkar Bhavan(L),Active
Dandekar Bridge - Dandekar Bridge-Ramkrishna Math (L),18.5,73.845,DandekarPul-Ramkrishna Math(L),Active
